Problem Name,Topic,Link
Single Number,Bit Manipulation,https://github.com/NaveenBasavaraj/CodeTrek/1_bit_manipulation/1_single_number.py
Number Of 1 Bits,Bit Manipulation,https://github.com/NaveenBasavaraj/CodeTrek/1_bit_manipulation/2_number_of_1_bits.py
Count Primes,Maths,https://github.com/NaveenBasavaraj/CodeTrek/2_maths/1_count_primes.py
Contains Duplicate,Array And Hashing,https://github.com/NaveenBasavaraj/CodeTrek/3_array_and_hashing/1_contains_duplicate.py
Valid Anagram,Array And Hashing,https://github.com/NaveenBasavaraj/CodeTrek/3_array_and_hashing/2_valid_anagram.py
Product Of Array Ex Self,Array And Hashing,https://github.com/NaveenBasavaraj/CodeTrek/3_array_and_hashing/3_product_of_array_ex_self.py
Two Sum,Array And Hashing,https://github.com/NaveenBasavaraj/CodeTrek/3_array_and_hashing/4_two_sum.py
Top K Freq,Array And Hashing,https://github.com/NaveenBasavaraj/CodeTrek/3_array_and_hashing/5_top_k_freq.py
Valid Palindrome,Two Pointers,https://github.com/NaveenBasavaraj/CodeTrek/4_two_pointers/1_valid_palindrome.py
Three Sum,Two Pointers,https://github.com/NaveenBasavaraj/CodeTrek/4_two_pointers/2_three_sum.py
Two Sum,Two Pointers,https://github.com/NaveenBasavaraj/CodeTrek/4_two_pointers/3_two_sum.py
Container With Most Water,Two Pointers,https://github.com/NaveenBasavaraj/CodeTrek/4_two_pointers/4_container_with_most_water.py
Stack,Stack,https://github.com/NaveenBasavaraj/CodeTrek/6_stack/1_stack.js
Stack,Stack,https://github.com/NaveenBasavaraj/CodeTrek/6_stack/1_stack.py
Total Problems,14
